bisim_weight,epoch,success_rate,steps
1,5,1.0,8
1,10,1.0,14
1,15,1.0,8
1,20,1.0,11
1,25,1.0,13
1,30,1.0,13
1,35,1.0,6
1,40,1.0,16
1,45,0.8,30
1,50,1.0,6
2,5,1.0,18
2,10,1.0,22
2,15,1.0,7
2,20,1.0,7
2,25,1.0,7
2,30,1.0,7
2,35,0.6,30
2,40,1.0,4
2,45,1.0,7
2,50,1.0,10
3,5,0.8,30
3,10,1.0,11
3,15,1.0,7
3,20,1.0,8
3,25,1.0,11
3,30,1.0,7
3,35,1.0,7
3,40,1.0,4
3,45,1.0,9
3,50,1.0,17
4,5,0.4,30
4,10,1.0,13
4,15,1.0,9
4,20,1.0,6
4,25,1.0,12
4,30,1.0,11
4,35,1.0,6
4,40,1.0,11
4,45,1.0,21
4,50,1.0,10
5,5,1.0,8
5,10,1.0,9
5,15,1.0,10
5,20,1.0,8
5,25,1.0,8
5,30,1.0,10
5,35,1.0,6
5,40,1.0,11
5,45,1.0,5
5,50,1.0,11
6,5,0.8,30
6,10,1.0,13
6,15,1.0,12
6,20,1.0,9
6,25,1.0,10
6,30,1.0,11
6,35,1.0,9
6,40,1.0,13
6,45,1.0,12
6,50,1.0,10
7,5,0.6,30
7,10,1.0,9
7,15,1.0,12
7,20,1.0,8
7,25,1.0,9
7,30,1.0,7
7,35,1.0,11
7,40,1.0,7
7,45,1.0,16
7,50,1.0,11
8,5,1.0,16
8,10,0.8,30
8,15,1.0,10
8,20,1.0,9
8,25,1.0,8
8,30,1.0,7
8,35,0.8,30
8,40,1.0,8
8,45,1.0,9
8,50,1.0,13
9,5,1.0,12
9,10,1.0,10
9,15,1.0,17
9,20,1.0,7
9,25,1.0,10
9,30,1.0,7
9,35,1.0,25
9,40,1.0,9
9,45,1.0,9
9,50,1.0,11
10,5,0.6,30
10,10,1.0,10
10,15,1.0,11
10,20,1.0,3
10,25,1.0,8
10,30,1.0,7
10,35,0.8,30
10,40,1.0,16
10,45,1.0,11
10,50,1.0,12
