bisim_weight,epoch,success_rate,steps
1,5,0.2,30
1,10,0.0,30
1,15,0.2,30
1,20,0.4,30
1,25,0.2,30
1,30,0.4,30
1,35,0.2,30
1,40,0.4,30
1,45,0.2,30
1,50,0.2,30
2,5,0.0,30
2,10,0.2,30
2,15,0.4,30
2,20,0.6,30
2,25,0.4,30
2,30,0.0,30
2,35,0.6,30
2,40,0.2,30
2,45,0.2,30
2,50,0.2,30
3,5,0.0,30
3,10,0.2,30
3,15,0.0,30
3,20,0.4,30
3,25,0.4,30
3,30,0.4,30
3,35,0.2,30
3,40,0.2,30
3,45,0.2,30
3,50,0.2,30
4,5,0.2,30
4,10,0.0,30
4,15,0.0,30
4,20,0.2,30
4,25,0.6,30
4,30,0.0,30
4,35,0.4,30
4,40,0.4,30
4,45,0.0,30
4,50,0.4,30
5,5,0.0,30
5,10,0.0,30
5,15,0.2,30
5,20,0.2,30
5,25,0.2,30
5,30,0.2,30
5,35,0.2,30
5,40,0.2,30
5,45,0.2,30
5,50,0.2,30
6,5,0.2,30
6,10,0.0,30
6,15,0.0,30
6,20,0.4,30
6,25,0.4,30
6,30,0.2,30
6,35,0.2,30
6,40,0.2,30
6,45,0.4,30
6,50,0.0,30
7,5,0.0,30
7,10,0.0,30
7,15,0.0,30
7,20,0.2,30
7,25,0.6,30
7,30,0.4,30
7,35,0.4,30
7,40,0.4,30
7,45,0.4,30
7,50,0.2,30
8,5,0.2,30
8,10,0.0,30
8,15,0.2,30
8,20,0.4,30
8,25,0.4,30
8,30,0.4,30
8,35,0.4,30
8,40,0.2,30
8,45,0.4,30
8,50,0.2,30
9,5,0.2,30
9,10,0.0,30
9,15,0.2,30
9,20,0.2,30
9,25,0.6,30
9,30,0.0,30
9,35,0.2,30
9,40,0.2,30
9,45,0.4,30
9,50,0.4,30
10,5,0.0,30
10,10,0.0,30
10,15,0.0,30
10,20,0.4,30
10,25,0.4,30
10,30,0.2,30
10,35,0.2,30
10,40,0.0,30
10,45,0.0,30
10,50,0.0,30
