{'bisim_weight': 1, 'model_epoch': 5, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526152036_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 10, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526153339_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 15, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526154640_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 20, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526155935_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 25, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526161235_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 30, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526162535_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 35, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526163836_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 40, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526165136_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 45, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526170432_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 50, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526171733_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 5, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526173033_mod1_bisim_1024_coef_1_gH5/logs.json'}
