{'bisim_weight': 1, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526121124_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526121413_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526121845_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526122226_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526122538_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526122944_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 5, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526123351_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526123614_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 3, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526123816_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526123953_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 13, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526124154_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526124743_mod1_bisim_1024_coef_1_gH5/logs.json'}
