bisim_weight,epoch,success_rate,steps
1,5,1.0,6
1,10,1.0,10
1,15,1.0,8
1,20,1.0,7
1,25,1.0,9
1,30,1.0,9
1,35,1.0,5
1,40,1.0,4
1,45,1.0,3
1,50,1.0,4
2,5,1.0,13
2,10,1.0,7
2,15,1.0,4
2,20,1.0,8
2,25,1.0,8
2,30,1.0,6
2,35,1.0,5
2,40,1.0,7
2,45,1.0,5
2,50,1.0,5
3,5,1.0,8
3,10,1.0,7
3,15,1.0,8
3,20,1.0,8
3,25,1.0,6
3,30,1.0,8
3,35,1.0,7
3,40,1.0,7
3,45,1.0,8
3,50,1.0,6
4,5,1.0,4
4,10,1.0,4
4,15,1.0,7
4,20,1.0,8
4,25,1.0,7
4,30,1.0,8
4,35,1.0,5
4,40,1.0,7
4,45,1.0,7
4,50,1.0,7
5,5,1.0,4
5,10,1.0,4
5,15,1.0,10
5,20,1.0,10
5,25,1.0,7
5,30,1.0,6
5,35,1.0,5
5,40,1.0,8
5,45,1.0,7
5,50,1.0,4
6,5,1.0,9
6,10,1.0,8
6,15,1.0,7
6,20,1.0,7
6,25,1.0,8
6,30,1.0,8
6,35,1.0,4
6,40,1.0,7
6,45,1.0,7
6,50,1.0,7
7,5,1.0,15
7,10,1.0,8
7,15,1.0,6
7,20,1.0,7
7,25,1.0,8
7,30,1.0,8
7,35,1.0,7
7,40,1.0,7
7,45,1.0,7
7,50,1.0,7
8,5,1.0,8
8,10,1.0,4
8,15,1.0,6
8,20,1.0,8
8,25,1.0,7
8,30,1.0,8
8,35,1.0,5
8,40,1.0,7
8,45,1.0,4
8,50,1.0,7
9,5,1.0,17
9,10,1.0,7
9,15,1.0,7
9,20,1.0,7
9,25,1.0,7
9,30,1.0,4
9,35,1.0,5
9,40,1.0,4
9,45,1.0,4
9,50,1.0,8
10,5,1.0,13
10,10,1.0,8
10,15,1.0,7
10,20,1.0,7
10,25,1.0,7
10,30,1.0,4
10,35,1.0,6
10,40,1.0,4
10,45,1.0,4
10,50,1.0,8
