{'bisim_weight': 1, 'model_epoch': 5, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526232336_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 10, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526233630_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 15, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526234925_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 20, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527000219_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 25, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527001513_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 30, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527002807_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 35, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527004101_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 40, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527005352_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 45, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527010646_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 50, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527011939_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 5, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527013234_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 10, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527014529_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 15, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527015823_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 20, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527021117_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 25, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527022410_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 30, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527023704_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 35, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527024958_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 40, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527030252_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 45, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527031546_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 50, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527032840_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 5, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527034135_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 10, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527035430_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 15, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527040725_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 20, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527042020_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 25, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527043314_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 30, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527044606_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 35, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527045900_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 40, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527051154_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 45, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527052450_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 50, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527053744_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 5, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527055043_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 10, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527060343_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 15, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527061643_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 20, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527062953_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 25, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527064246_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 30, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527065542_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 35, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527070836_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 40, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527072130_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 45, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527073425_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 50, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527074719_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 5, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527080014_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 10, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527081308_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 15, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527082602_mod1_bisim_1024_coef_1_gH5/logs.json'}
