{'bisim_weight': 1, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250525234044_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 14, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250525234424_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250525235036_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250525235418_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 13, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250525235914_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 13, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526000502_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526001049_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 16, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526001342_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 45, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526002044_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 1, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526003336_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 18, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526003628_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 22, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526004421_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526005354_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526005711_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526010028_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526010346_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 35, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526010703_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526011956_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526012158_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 2, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526012515_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 5, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526012947_mod1_bisim_1024_coef_1_gH5/logs.json'}
